"IDPubRecord","IDPublication","PageNumber","IDMonument","Active"
"175","{00000006-0000-0000-0000-000000000000}","45","692","true"
"176","{00000004-0000-0000-0000-000000000000}","57","692","true"
"177","{00000025-0000-0000-0000-000000000000}","198-199","692","true"
"178","{0000000F-0000-0000-0000-000000000000}","33","693","true"
"179","{00000021-0000-0000-0000-000000000000}","50","693","true"
"180","{0000000F-0000-0000-0000-000000000000}","33","694","true"
"181","{00000021-0000-0000-0000-000000000000}","50","694","true"
"182","{0000000F-0000-0000-0000-000000000000}","33","695","true"
"183","{00000021-0000-0000-0000-000000000000}","51","695","true"
"184","{0000000F-0000-0000-0000-000000000000}","33","696","true"
"185","{0000000F-0000-0000-0000-000000000000}","33","697","true"
"186","{00000021-0000-0000-0000-000000000000}","51","697","true"
"187","{00000021-0000-0000-0000-000000000000}","51","698","true"
"188","{00000021-0000-0000-0000-000000000000}","50","699","true"
"189","{0000000F-0000-0000-0000-000000000000}","33","699","true"
"190","{0000000F-0000-0000-0000-000000000000}","39","700","true"
"191","{00000027-0000-0000-0000-000000000000}","50","700","true"
"192","{00000027-0000-0000-0000-000000000000}","50","701","true"
"193","{0000000F-0000-0000-0000-000000000000}","39","701","true"
"194","{0000000F-0000-0000-0000-000000000000}","34","702","true"
"195","{00000004-0000-0000-0000-000000000000}","58","702","true"
"196","{00000006-0000-0000-0000-000000000000}","46","702","true"
"197","{0000000D-0000-0000-0000-000000000000}","246","702","true"
"198","{00000001-0000-0000-0000-000000000000}","497","702","true"
"199","{00000021-0000-0000-0000-000000000000}","57-58","702","true"
"200","{00000004-0000-0000-0000-000000000000}","58","703","true"
"201","{00000006-0000-0000-0000-000000000000}","46","703","true"
"202","{00000021-0000-0000-0000-000000000000}","58","703","true"
"203","{0000000F-0000-0000-0000-000000000000}","34","703","true"
"204","{00000004-0000-0000-0000-000000000000}","58","704","true"
"205","{00000006-0000-0000-0000-000000000000}","46","704","true"
"206","{0000000D-0000-0000-0000-000000000000}","246","704","true"
"207","{00000021-0000-0000-0000-000000000000}","58","704","true"
"208","{0000000F-0000-0000-0000-000000000000}","34","704","true"
"500","{00000019-0000-0000-0000-000000000000}","16-17","863","true"
"501","{00000024-0000-0000-0000-000000000000}","83","863","true"
"503","{00000032-0000-0000-0000-000000000000}","108","863","true"
"504","{00000025-0000-0000-0000-000000000000}","158","863","true"
"505","{0000000F-0000-0000-0000-000000000000}","38","864","true"
"506","{00000024-0000-0000-0000-000000000000}","84","864","true"
"507","{0000000F-0000-0000-0000-000000000000}","38","865","true"
"508","{00000024-0000-0000-0000-000000000000}","84","865","true"
"509","{00000004-0000-0000-0000-000000000000}","58","866","true"
"510","{00000006-0000-0000-0000-000000000000}","46","866","true"
"511","{0000000F-0000-0000-0000-000000000000}","38","866","true"
"512","{00000024-0000-0000-0000-000000000000}","68","867","true"
"513","{00000032-0000-0000-0000-000000000000}","108","867","true"
"514","{40BAAC65-DDA8-43CC-AAFA-AEA223A09EDB}","123","867","true"
"515","{0000000F-0000-0000-0000-000000000000}","38","868","true"
"516","{00000024-0000-0000-0000-000000000000}","84","868","true"
"517","{00000032-0000-0000-0000-000000000000}","108","868","true"
"519","{0000000F-0000-0000-0000-000000000000}","37","870","true"
"520","{00000024-0000-0000-0000-000000000000}","32-33","870","true"
"521","{20368486-C2DC-46CE-B241-B24F32B3F8C8}","92-95","870","true"
"522","{A2BD7607-8DF0-4D91-AB6A-DC2E2DDD6BB7}","34","870","true"
"523","{00000032-0000-0000-0000-000000000000}","105","870","true"
"524","{00000025-0000-0000-0000-000000000000}","143","870","true"
"525","{0000000F-0000-0000-0000-000000000000}","37","871","true"
"526","{00000024-0000-0000-0000-000000000000}","56","871","true"
"527","{00000004-0000-0000-0000-000000000000}","58","871","true"
"528","{00000006-0000-0000-0000-000000000000}","46","871","true"
"529","{0000000F-0000-0000-0000-000000000000}","37","872","true"
"530","{00000024-0000-0000-0000-000000000000}","55","872","true"
"531","{00000004-0000-0000-0000-000000000000}","58","872","true"
"532","{00000006-0000-0000-0000-000000000000}","46","872","true"
"533","{00000004-0000-0000-0000-000000000000}","58","873","true"
"534","{00000006-0000-0000-0000-000000000000}","46","873","true"
"535","{0000000F-0000-0000-0000-000000000000}","38","873","true"
"536","{00000024-0000-0000-0000-000000000000}","53","873","true"
"537","{0000001B-0000-0000-0000-000000000000}","193","874","true"
"538","{00000032-0000-0000-0000-000000000000}","109","874","true"
"539","{8D182FBD-3E26-4C70-816D-DE7A39237D7A}","144-145","874","true"
"540","{0000001B-0000-0000-0000-000000000000}","193","875","true"
"541","{00000032-0000-0000-0000-000000000000}","109","875","true"
"542","{0000001B-0000-0000-0000-000000000000}","193","876","true"
"543","{0000001B-0000-0000-0000-000000000000}","194","877","true"
"544","{0000001B-0000-0000-0000-000000000000}","194","878","true"
"545","{0000000F-0000-0000-0000-000000000000}","41","879","true"
"546","{00000029-0000-0000-0000-000000000000}","16","879","true"
"547","{00000028-0000-0000-0000-000000000000}","25","880","true"
"548","{00000004-0000-0000-0000-000000000000}","58","881","true"
"549","{00000006-0000-0000-0000-000000000000}","46","881","true"
"550","{0000000F-0000-0000-0000-000000000000}","33-34","881","true"
"551","{0000000D-0000-0000-0000-000000000000}","241","881","true"
