name,addr,dat,y,x,status,id
Р. Кищаковское селище N 4,"Республика Татарстан, Буинский район",не определена,48.443081,54.8344,2,52
Р. Кищаковское селище N 5,"Республика Татарстан, Буинский район",не определена,48.443081,54.8344,2,53
Селище и древнее кладбище Б. Фроловские,"Республика Татарстан, Буинский район",не определена,48.421414,55.048383,2,54
Степановское городище,"Республика Татарстан, Буинский район",не определена,48.370469,55.011597,2,55
Степановское селище II,"Республика Татарстан, Буинский район",не определена,48.363469,55.016142,2,56
Степановское селище III,"Республика Татарстан, Буинский район",не определена,48.402961,54.996183,2,57
Яшевское селище,"Республика Татарстан, Буинский район",не определена,48.480294,54.890994,2,58
Карамышихинское городище,"Республика Татарстан, Зеленодольский район",не определена,48.481331,55.5892,2,59
Могильник 'Пустые Моркваши',"Республика Татарстан, Верхнеуслонский район",не определена,48.798947,55.781606,2,60
Состринская стоянка,"Республика Татарстан, Верхнеуслонский район",не определена,48.625661,55.7159,2,61
Ташевское городище,"Республика Татарстан, Верхнеуслонский район",не определена,48.956994,55.612442,2,62
Древнее кладбище вблизи села Куркачи,"Республика Татарстан, Высокогорский район",не определена,49.562211,56.019061,2,63
Древнее кладбище у Камаевского городища,"Республика Татарстан, Дрожжановский район",не определена,47.427331,54.781708,2,64
Камаевское  городище 'Иске Казань',"Республика Татарстан, Высокогорский район",XIII-XV вв. н.э.,49.640403,56.0274,2,65
Камаевское (Иски-Казанское) городище,"Республика Татарстан, Высокогорский район",III-V вв. н.э.,49.640403,56.0274,2,66
